ref_genome,setting,step,read_count,settings_verbose,gc_bias,trimming,genome,step_verbose,percent_loss,percent_remaining
0memhg19,False40,fastq,100884350.1,Lenient,GC bias not corrected,Untrimmed,hg19,Fastq,0,100
0memhg19,False40,mem_sorted.bam,99961747.5,Lenient,GC bias not corrected,Untrimmed,hg19,Alignment,-0.9145150849318924,99.08548491506811
0memhg19,False40,sortByCoord.bam,90193473.325,Lenient,GC bias not corrected,Untrimmed,hg19,Final,-10.59716077310587,89.40283922689413
0memhg19,False40,sorted.bam,99961747.5,Lenient,GC bias not corrected,Untrimmed,hg19,Filtering,-0.9145150849318924,99.08548491506811
0memhg19,False40,trimming,100884350.1,Lenient,GC bias not corrected,Untrimmed,hg19,Trimming,0,100
0memhg19,FalseDI26830XA,fastq,100884350.1,Strict,GC bias not corrected,Untrimmed,hg19,Fastq,0,100
0memhg19,FalseDI26830XA,mem_sorted.bam,99961747.5,Strict,GC bias not corrected,Untrimmed,hg19,Alignment,-0.9145150849318924,99.08548491506811
0memhg19,FalseDI26830XA,sortByCoord.bam,81379077.3,Strict,GC bias not corrected,Untrimmed,hg19,Final,-19.334289987164226,80.66571001283577
0memhg19,FalseDI26830XA,sorted.bam,89446386.05,Strict,GC bias not corrected,Untrimmed,hg19,Filtering,-11.337699096700632,88.66230090329937
0memhg19,FalseDI26830XA,trimming,100884350.1,Strict,GC bias not corrected,Untrimmed,hg19,Trimming,0,100
0memhg19,True40,fastq,100884350.1,Lenient,GC bias corrected,Untrimmed,hg19,Fastq,0,100
0memhg19,True40,mem_sorted.bam,99961747.5,Lenient,GC bias corrected,Untrimmed,hg19,Alignment,-0.9145150849318924,99.08548491506811
0memhg19,True40,sortByCoord.bam,90177058.75,Lenient,GC bias corrected,Untrimmed,hg19,Final,-10.61343145828522,89.38656854171478
0memhg19,True40,sorted.bam,99961747.5,Lenient,GC bias corrected,Untrimmed,hg19,Filtering,-0.9145150849318924,99.08548491506811
0memhg19,True40,trimming,100884350.1,Lenient,GC bias corrected,Untrimmed,hg19,Trimming,0,100
0memhg19,TrueDI26830XA,fastq,100884350.1,Strict,GC bias corrected,Untrimmed,hg19,Fastq,0,100
0memhg19,TrueDI26830XA,mem_sorted.bam,99961747.5,Strict,GC bias corrected,Untrimmed,hg19,Alignment,-0.9145150849318924,99.08548491506811
0memhg19,TrueDI26830XA,sortByCoord.bam,81375807,Strict,GC bias corrected,Untrimmed,hg19,Final,-19.337531619782908,80.66246838021709
0memhg19,TrueDI26830XA,sorted.bam,89446386.05,Strict,GC bias corrected,Untrimmed,hg19,Filtering,-11.337699096700632,88.66230090329937
0memhg19,TrueDI26830XA,trimming,100884350.1,Strict,GC bias corrected,Untrimmed,hg19,Trimming,0,100
0memhg19decoy,False40,fastq,100884350.1,Lenient,GC bias not corrected,Untrimmed,hg19decoy,Fastq,0,100
0memhg19decoy,False40,mem_sorted.bam,100058750.8,Lenient,GC bias not corrected,Untrimmed,hg19decoy,Alignment,-0.8183621138280017,99.181637886172
0memhg19decoy,False40,sortByCoord.bam,90949137.175,Lenient,GC bias not corrected,Untrimmed,hg19decoy,Final,-9.848121056587942,90.15187894341206
0memhg19decoy,False40,sorted.bam,100058750.8,Lenient,GC bias not corrected,Untrimmed,hg19decoy,Filtering,-0.8183621138280017,99.181637886172
0memhg19decoy,False40,trimming,100884350.1,Lenient,GC bias not corrected,Untrimmed,hg19decoy,Trimming,0,100
0memhg19decoy,FalseDI26830XA,fastq,100884350.1,Strict,GC bias not corrected,Untrimmed,hg19decoy,Fastq,0,100
0memhg19decoy,FalseDI26830XA,mem_sorted.bam,100058750.8,Strict,GC bias not corrected,Untrimmed,hg19decoy,Alignment,-0.8183621138280017,99.181637886172
0memhg19decoy,FalseDI26830XA,sortByCoord.bam,81861258.475,Strict,GC bias not corrected,Untrimmed,hg19decoy,Final,-18.85633560224521,81.14366439775479
0memhg19decoy,FalseDI26830XA,sorted.bam,89611687.925,Strict,GC bias not corrected,Untrimmed,hg19decoy,Filtering,-11.17384625447471,88.82615374552529
0memhg19decoy,FalseDI26830XA,trimming,100884350.1,Strict,GC bias not corrected,Untrimmed,hg19decoy,Trimming,0,100
0memhg19decoy,True40,fastq,100884350.1,Lenient,GC bias corrected,Untrimmed,hg19decoy,Fastq,0,100
0memhg19decoy,True40,mem_sorted.bam,100058750.8,Lenient,GC bias corrected,Untrimmed,hg19decoy,Alignment,-0.8183621138280017,99.181637886172
0memhg19decoy,True40,sortByCoord.bam,90950806.9,Lenient,GC bias corrected,Untrimmed,hg19decoy,Final,-9.84646596836231,90.15353403163769
0memhg19decoy,True40,sorted.bam,100058750.8,Lenient,GC bias corrected,Untrimmed,hg19decoy,Filtering,-0.8183621138280017,99.181637886172
0memhg19decoy,True40,trimming,100884350.1,Lenient,GC bias corrected,Untrimmed,hg19decoy,Trimming,0,100
0memhg19decoy,TrueDI26830XA,fastq,100884350.1,Strict,GC bias corrected,Untrimmed,hg19decoy,Fastq,0,100
0memhg19decoy,TrueDI26830XA,mem_sorted.bam,100058750.8,Strict,GC bias corrected,Untrimmed,hg19decoy,Alignment,-0.8183621138280017,99.181637886172
0memhg19decoy,TrueDI26830XA,sortByCoord.bam,81871751.525,Strict,GC bias corrected,Untrimmed,hg19decoy,Final,-18.84593453410173,81.15406546589827
0memhg19decoy,TrueDI26830XA,sorted.bam,89611687.925,Strict,GC bias corrected,Untrimmed,hg19decoy,Filtering,-11.17384625447471,88.82615374552529
0memhg19decoy,TrueDI26830XA,trimming,100884350.1,Strict,GC bias corrected,Untrimmed,hg19decoy,Trimming,0,100
0memhg38,False40,fastq,100884350.1,Lenient,GC bias not corrected,Untrimmed,hg38,Fastq,0,100
0memhg38,False40,mem_sorted.bam,100057562.6,Lenient,GC bias not corrected,Untrimmed,hg38,Alignment,-0.8195398980916764,99.18046010190832
0memhg38,False40,sortByCoord.bam,91436550.7,Lenient,GC bias not corrected,Untrimmed,hg38,Final,-9.36498018833943,90.63501981166057
0memhg38,False40,sorted.bam,100057562.6,Lenient,GC bias not corrected,Untrimmed,hg38,Filtering,-0.8195398980916764,99.18046010190832
0memhg38,False40,trimming,100884350.1,Lenient,GC bias not corrected,Untrimmed,hg38,Trimming,0,100
0memhg38,FalseDI26830XA,fastq,100884350.1,Strict,GC bias not corrected,Untrimmed,hg38,Fastq,0,100
0memhg38,FalseDI26830XA,mem_sorted.bam,100057562.6,Strict,GC bias not corrected,Untrimmed,hg38,Alignment,-0.8195398980916764,99.18046010190832
0memhg38,FalseDI26830XA,sortByCoord.bam,79934838.85,Strict,GC bias not corrected,Untrimmed,hg38,Final,-20.765868273160436,79.23413172683956
0memhg38,FalseDI26830XA,sorted.bam,87156727.475,Strict,GC bias not corrected,Untrimmed,hg38,Filtering,-13.607286572588023,86.39271342741198
0memhg38,FalseDI26830XA,trimming,100884350.1,Strict,GC bias not corrected,Untrimmed,hg38,Trimming,0,100
0memhg38,True40,fastq,100884350.1,Lenient,GC bias corrected,Untrimmed,hg38,Fastq,0,100
0memhg38,True40,mem_sorted.bam,100057562.6,Lenient,GC bias corrected,Untrimmed,hg38,Alignment,-0.8195398980916764,99.18046010190832
0memhg38,True40,sortByCoord.bam,90789534.025,Lenient,GC bias corrected,Untrimmed,hg38,Final,-10.006325128717847,89.99367487128215
0memhg38,True40,sorted.bam,100057562.6,Lenient,GC bias corrected,Untrimmed,hg38,Filtering,-0.8195398980916764,99.18046010190832
0memhg38,True40,trimming,100884350.1,Lenient,GC bias corrected,Untrimmed,hg38,Trimming,0,100
0memhg38,TrueDI26830XA,fastq,100884350.1,Strict,GC bias corrected,Untrimmed,hg38,Fastq,0,100
0memhg38,TrueDI26830XA,mem_sorted.bam,100057562.6,Strict,GC bias corrected,Untrimmed,hg38,Alignment,-0.8195398980916764,99.18046010190832
0memhg38,TrueDI26830XA,sortByCoord.bam,79728414.9,Strict,GC bias corrected,Untrimmed,hg38,Final,-20.97048271513819,79.02951728486181
0memhg38,TrueDI26830XA,sorted.bam,87156727.475,Strict,GC bias corrected,Untrimmed,hg38,Filtering,-13.607286572588023,86.39271342741198
0memhg38,TrueDI26830XA,trimming,100884350.1,Strict,GC bias corrected,Untrimmed,hg38,Trimming,0,100
0memhg38noalt,False40,fastq,100884350.1,Lenient,GC bias not corrected,Untrimmed,hg38noalt,Fastq,0,100
0memhg38noalt,False40,mem_sorted.bam,100029418.2,Lenient,GC bias not corrected,Untrimmed,hg38noalt,Alignment,-0.8474375848707467,99.15256241512925
0memhg38noalt,False40,sortByCoord.bam,91304106.925,Lenient,GC bias not corrected,Untrimmed,hg38noalt,Final,-9.496262963981764,90.50373703601824
0memhg38noalt,False40,sorted.bam,100029418.2,Lenient,GC bias not corrected,Untrimmed,hg38noalt,Filtering,-0.8474375848707467,99.15256241512925
0memhg38noalt,False40,trimming,100884350.1,Lenient,GC bias not corrected,Untrimmed,hg38noalt,Trimming,0,100
0memhg38noalt,FalseDI26830XA,fastq,100884350.1,Strict,GC bias not corrected,Untrimmed,hg38noalt,Fastq,0,100
0memhg38noalt,FalseDI26830XA,mem_sorted.bam,100029418.2,Strict,GC bias not corrected,Untrimmed,hg38noalt,Alignment,-0.8474375848707467,99.15256241512925
0memhg38noalt,FalseDI26830XA,sortByCoord.bam,81227341.85,Strict,GC bias not corrected,Untrimmed,hg38noalt,Final,-19.484695327387556,80.51530467261244
0memhg38noalt,FalseDI26830XA,sorted.bam,88786219.6,Strict,GC bias not corrected,Untrimmed,hg38noalt,Filtering,-11.992078541426807,88.0079214585732
0memhg38noalt,FalseDI26830XA,trimming,100884350.1,Strict,GC bias not corrected,Untrimmed,hg38noalt,Trimming,0,100
0memhg38noalt,True40,fastq,100884350.1,Lenient,GC bias corrected,Untrimmed,hg38noalt,Fastq,0,100
0memhg38noalt,True40,mem_sorted.bam,100029418.2,Lenient,GC bias corrected,Untrimmed,hg38noalt,Alignment,-0.8474375848707467,99.15256241512925
0memhg38noalt,True40,sortByCoord.bam,91333649.675,Lenient,GC bias corrected,Untrimmed,hg38noalt,Final,-9.466979185109508,90.53302081489049
0memhg38noalt,True40,sorted.bam,100029418.2,Lenient,GC bias corrected,Untrimmed,hg38noalt,Filtering,-0.8474375848707467,99.15256241512925
0memhg38noalt,True40,trimming,100884350.1,Lenient,GC bias corrected,Untrimmed,hg38noalt,Trimming,0,100
0memhg38noalt,TrueDI26830XA,fastq,100884350.1,Strict,GC bias corrected,Untrimmed,hg38noalt,Fastq,0,100
0memhg38noalt,TrueDI26830XA,mem_sorted.bam,100029418.2,Strict,GC bias corrected,Untrimmed,hg38noalt,Alignment,-0.8474375848707467,99.15256241512925
0memhg38noalt,TrueDI26830XA,sortByCoord.bam,81263838,Strict,GC bias corrected,Untrimmed,hg38noalt,Final,-19.448519101874055,80.55148089812594
0memhg38noalt,TrueDI26830XA,sorted.bam,88786219.6,Strict,GC bias corrected,Untrimmed,hg38noalt,Filtering,-11.992078541426807,88.0079214585732
0memhg38noalt,TrueDI26830XA,trimming,100884350.1,Strict,GC bias corrected,Untrimmed,hg38noalt,Trimming,0,100
30memhg19,False40,fastq,100884350.1,Lenient,GC bias not corrected,Trimmed,hg19,Fastq,0,100
30memhg19,False40,mem_sorted.bam,97788105.85,Lenient,GC bias not corrected,Trimmed,hg19,Alignment,-3.0691026377539146,96.93089736224609
30memhg19,False40,sortByCoord.bam,88274065,Lenient,GC bias not corrected,Trimmed,hg19,Final,-12.499743604930046,87.50025639506995
30memhg19,False40,sorted.bam,97788105.85,Lenient,GC bias not corrected,Trimmed,hg19,Filtering,-3.0691026377539146,96.93089736224609
30memhg19,False40,trimming,98507704.95,Lenient,GC bias not corrected,Trimmed,hg19,Trimming,-2.3558115283928345,97.64418847160717
30memhg19,FalseDI26830XA,fastq,100884350.1,Strict,GC bias not corrected,Trimmed,hg19,Fastq,0,100
30memhg19,FalseDI26830XA,mem_sorted.bam,97788105.85,Strict,GC bias not corrected,Trimmed,hg19,Alignment,-3.0691026377539146,96.93089736224609
30memhg19,FalseDI26830XA,sortByCoord.bam,79920551.85,Strict,GC bias not corrected,Trimmed,hg19,Final,-20.780030033617663,79.21996996638234
30memhg19,FalseDI26830XA,sorted.bam,87805267.8,Strict,GC bias not corrected,Trimmed,hg19,Filtering,-12.964431338493597,87.0355686615064
30memhg19,FalseDI26830XA,trimming,98507704.95,Strict,GC bias not corrected,Trimmed,hg19,Trimming,-2.3558115283928345,97.64418847160717
30memhg19,True40,fastq,100884350.1,Lenient,GC bias corrected,Trimmed,hg19,Fastq,0,100
30memhg19,True40,mem_sorted.bam,97788105.85,Lenient,GC bias corrected,Trimmed,hg19,Alignment,-3.0691026377539146,96.93089736224609
30memhg19,True40,sortByCoord.bam,88250658.8,Lenient,GC bias corrected,Trimmed,hg19,Final,-12.52294462667109,87.47705537332891
30memhg19,True40,sorted.bam,97788105.85,Lenient,GC bias corrected,Trimmed,hg19,Filtering,-3.0691026377539146,96.93089736224609
30memhg19,True40,trimming,98507704.95,Lenient,GC bias corrected,Trimmed,hg19,Trimming,-2.3558115283928345,97.64418847160717
30memhg19,TrueDI26830XA,fastq,100884350.1,Strict,GC bias corrected,Trimmed,hg19,Fastq,0,100
30memhg19,TrueDI26830XA,mem_sorted.bam,97788105.85,Strict,GC bias corrected,Trimmed,hg19,Alignment,-3.0691026377539146,96.93089736224609
30memhg19,TrueDI26830XA,sortByCoord.bam,79910754.55,Strict,GC bias corrected,Trimmed,hg19,Final,-20.789741450691068,79.21025854930893
30memhg19,TrueDI26830XA,sorted.bam,87805267.8,Strict,GC bias corrected,Trimmed,hg19,Filtering,-12.964431338493597,87.0355686615064
30memhg19,TrueDI26830XA,trimming,98507704.95,Strict,GC bias corrected,Trimmed,hg19,Trimming,-2.3558115283928345,97.64418847160717
30memhg19decoy,False40,fastq,100884350.1,Lenient,GC bias not corrected,Trimmed,hg19decoy,Fastq,0,100
30memhg19decoy,False40,mem_sorted.bam,97875504.3,Lenient,GC bias not corrected,Trimmed,hg19decoy,Alignment,-2.9824703207360983,97.0175296792639
30memhg19decoy,False40,sortByCoord.bam,89010629.3,Lenient,GC bias not corrected,Trimmed,hg19decoy,Final,-11.769636012156852,88.23036398784315
30memhg19decoy,False40,sorted.bam,97875504.3,Lenient,GC bias not corrected,Trimmed,hg19decoy,Filtering,-2.9824703207360983,97.0175296792639
30memhg19decoy,False40,trimming,98507704.95,Lenient,GC bias not corrected,Trimmed,hg19decoy,Trimming,-2.3558115283928345,97.64418847160717
30memhg19decoy,FalseDI26830XA,fastq,100884350.1,Strict,GC bias not corrected,Trimmed,hg19decoy,Fastq,0,100
30memhg19decoy,FalseDI26830XA,mem_sorted.bam,97875504.3,Strict,GC bias not corrected,Trimmed,hg19decoy,Alignment,-2.9824703207360983,97.0175296792639
30memhg19decoy,FalseDI26830XA,sortByCoord.bam,80396716.6,Strict,GC bias not corrected,Trimmed,hg19decoy,Final,-20.308039333843126,79.69196066615687
30memhg19decoy,FalseDI26830XA,sorted.bam,87966888.15,Strict,GC bias not corrected,Trimmed,hg19decoy,Filtering,-12.804227749096626,87.19577225090337
30memhg19decoy,FalseDI26830XA,trimming,98507704.95,Strict,GC bias not corrected,Trimmed,hg19decoy,Trimming,-2.3558115283928345,97.64418847160717
30memhg19decoy,True40,fastq,100884350.1,Lenient,GC bias corrected,Trimmed,hg19decoy,Fastq,0,100
30memhg19decoy,True40,mem_sorted.bam,97875504.3,Lenient,GC bias corrected,Trimmed,hg19decoy,Alignment,-2.9824703207360983,97.0175296792639
30memhg19decoy,True40,sortByCoord.bam,89007538.7,Lenient,GC bias corrected,Trimmed,hg19decoy,Final,-11.772699520021973,88.22730047997803
30memhg19decoy,True40,sorted.bam,97875504.3,Lenient,GC bias corrected,Trimmed,hg19decoy,Filtering,-2.9824703207360983,97.0175296792639
30memhg19decoy,True40,trimming,98507704.95,Lenient,GC bias corrected,Trimmed,hg19decoy,Trimming,-2.3558115283928345,97.64418847160717
30memhg19decoy,TrueDI26830XA,fastq,100884350.1,Strict,GC bias corrected,Trimmed,hg19decoy,Fastq,0,100
30memhg19decoy,TrueDI26830XA,mem_sorted.bam,97875504.3,Strict,GC bias corrected,Trimmed,hg19decoy,Alignment,-2.9824703207360983,97.0175296792639
30memhg19decoy,TrueDI26830XA,sortByCoord.bam,80402702.525,Strict,GC bias corrected,Trimmed,hg19decoy,Final,-20.30210588133629,79.69789411866371
30memhg19decoy,TrueDI26830XA,sorted.bam,87966888.15,Strict,GC bias corrected,Trimmed,hg19decoy,Filtering,-12.804227749096626,87.19577225090337
30memhg19decoy,TrueDI26830XA,trimming,98507704.95,Strict,GC bias corrected,Trimmed,hg19decoy,Trimming,-2.3558115283928345,97.64418847160717
30memhg38,False40,fastq,100884350.1,Lenient,GC bias not corrected,Trimmed,hg38,Fastq,0,100
30memhg38,False40,mem_sorted.bam,97875012.625,Lenient,GC bias not corrected,Trimmed,hg38,Alignment,-2.982957685723335,97.01704231427667
30memhg38,False40,sortByCoord.bam,89491559.525,Lenient,GC bias not corrected,Trimmed,hg38,Final,-11.292921611436341,88.70707838856366
30memhg38,False40,sorted.bam,97875012.625,Lenient,GC bias not corrected,Trimmed,hg38,Filtering,-2.982957685723335,97.01704231427667
30memhg38,False40,trimming,98507704.95,Lenient,GC bias not corrected,Trimmed,hg38,Trimming,-2.3558115283928345,97.64418847160717
30memhg38,FalseDI26830XA,fastq,100884350.1,Strict,GC bias not corrected,Trimmed,hg38,Fastq,0,100
30memhg38,FalseDI26830XA,mem_sorted.bam,97875012.625,Strict,GC bias not corrected,Trimmed,hg38,Alignment,-2.982957685723335,97.01704231427667
30memhg38,FalseDI26830XA,sortByCoord.bam,78506706.15,Strict,GC bias not corrected,Trimmed,hg38,Final,-22.181481991823816,77.81851800817618
30memhg38,FalseDI26830XA,sorted.bam,85776912.25,Strict,GC bias not corrected,Trimmed,hg38,Filtering,-14.975006366225273,85.02499363377473
30memhg38,FalseDI26830XA,trimming,98507704.95,Strict,GC bias not corrected,Trimmed,hg38,Trimming,-2.3558115283928345,97.64418847160717
30memhg38,True40,fastq,100884350.1,Lenient,GC bias corrected,Trimmed,hg38,Fastq,0,100
30memhg38,True40,mem_sorted.bam,97875012.625,Lenient,GC bias corrected,Trimmed,hg38,Alignment,-2.982957685723335,97.01704231427667
30memhg38,True40,sortByCoord.bam,88865758.975,Lenient,GC bias corrected,Trimmed,hg38,Final,-11.913236406922152,88.08676359307785
30memhg38,True40,sorted.bam,97875012.625,Lenient,GC bias corrected,Trimmed,hg38,Filtering,-2.982957685723335,97.01704231427667
30memhg38,True40,trimming,98507704.95,Lenient,GC bias corrected,Trimmed,hg38,Trimming,-2.3558115283928345,97.64418847160717
30memhg38,TrueDI26830XA,fastq,100884350.1,Strict,GC bias corrected,Trimmed,hg38,Fastq,0,100
30memhg38,TrueDI26830XA,mem_sorted.bam,97875012.625,Strict,GC bias corrected,Trimmed,hg38,Alignment,-2.982957685723335,97.01704231427667
30memhg38,TrueDI26830XA,sortByCoord.bam,78292502,Strict,GC bias corrected,Trimmed,hg38,Final,-22.393808432731333,77.60619156726867
30memhg38,TrueDI26830XA,sorted.bam,85776912.25,Strict,GC bias corrected,Trimmed,hg38,Filtering,-14.975006366225273,85.02499363377473
30memhg38,TrueDI26830XA,trimming,98507704.95,Strict,GC bias corrected,Trimmed,hg38,Trimming,-2.3558115283928345,97.64418847160717
30memhg38noalt,False40,fastq,100884350.1,Lenient,GC bias not corrected,Trimmed,hg38noalt,Fastq,0,100
30memhg38noalt,False40,mem_sorted.bam,97848589.8,Lenient,GC bias not corrected,Trimmed,hg38noalt,Alignment,-3.009148888792808,96.99085111120719
30memhg38noalt,False40,sortByCoord.bam,89363271.75,Lenient,GC bias not corrected,Trimmed,hg38noalt,Final,-11.420084818487624,88.57991518151238
30memhg38noalt,False40,sorted.bam,97848589.8,Lenient,GC bias not corrected,Trimmed,hg38noalt,Filtering,-3.009148888792808,96.99085111120719
30memhg38noalt,False40,trimming,98507704.95,Lenient,GC bias not corrected,Trimmed,hg38noalt,Trimming,-2.3558115283928345,97.64418847160717
30memhg38noalt,FalseDI26830XA,fastq,100884350.1,Strict,GC bias not corrected,Trimmed,hg38noalt,Fastq,0,100
30memhg38noalt,FalseDI26830XA,mem_sorted.bam,97848589.8,Strict,GC bias not corrected,Trimmed,hg38noalt,Alignment,-3.009148888792808,96.99085111120719
30memhg38noalt,FalseDI26830XA,sortByCoord.bam,79774566.925,Strict,GC bias not corrected,Trimmed,hg38noalt,Final,-20.924735257822718,79.07526474217728
30memhg38noalt,FalseDI26830XA,sorted.bam,87379109.1,Strict,GC bias not corrected,Trimmed,hg38noalt,Filtering,-13.386854340255098,86.6131456597449
30memhg38noalt,FalseDI26830XA,trimming,98507704.95,Strict,GC bias not corrected,Trimmed,hg38noalt,Trimming,-2.3558115283928345,97.64418847160717
30memhg38noalt,True40,fastq,100884350.1,Lenient,GC bias corrected,Trimmed,hg38noalt,Fastq,0,100
30memhg38noalt,True40,mem_sorted.bam,97848589.8,Lenient,GC bias corrected,Trimmed,hg38noalt,Alignment,-3.009148888792808,96.99085111120719
30memhg38noalt,True40,sortByCoord.bam,89387210.95,Lenient,GC bias corrected,Trimmed,hg38noalt,Final,-11.396355469013415,88.60364453098659
30memhg38noalt,True40,sorted.bam,97848589.8,Lenient,GC bias corrected,Trimmed,hg38noalt,Filtering,-3.009148888792808,96.99085111120719
30memhg38noalt,True40,trimming,98507704.95,Lenient,GC bias corrected,Trimmed,hg38noalt,Trimming,-2.3558115283928345,97.64418847160717
30memhg38noalt,TrueDI26830XA,fastq,100884350.1,Strict,GC bias corrected,Trimmed,hg38noalt,Fastq,0,100
30memhg38noalt,TrueDI26830XA,mem_sorted.bam,97848589.8,Strict,GC bias corrected,Trimmed,hg38noalt,Alignment,-3.009148888792808,96.99085111120719
30memhg38noalt,TrueDI26830XA,sortByCoord.bam,79798040.3,Strict,GC bias corrected,Trimmed,hg38noalt,Final,-20.901467649936322,79.09853235006368
30memhg38noalt,TrueDI26830XA,sorted.bam,87379109.1,Strict,GC bias corrected,Trimmed,hg38noalt,Filtering,-13.386854340255098,86.6131456597449
30memhg38noalt,TrueDI26830XA,trimming,98507704.95,Strict,GC bias corrected,Trimmed,hg38noalt,Trimming,-2.3558115283928345,97.64418847160717
